rank,feature,coefficient
1,high,3.4242126088646514
2,low,2.361886018733771
3,low_lag5min,2.294419845908169
4,high_lag5min,2.058636978021353
5,total_score,1.6067600917057108
6,largest_component_size,1.406893687586921
7,num_components,1.2199146087167045
8,volume_mean_60min,1.2155025125642147
9,unique_users,1.2089877109049294
10,max_degree,1.1337110111590847
11,volume_std,1.1012754108944385
12,edge_count,0.9828908764519219
13,node_count,0.951598800768584
14,cascade_size_max,0.9147040801769084
15,cascade_count,0.8293860462769709
16,cascade_size_mean,0.8177380300328213
17,trade_count,0.8111413607135999
18,vwap,0.8007540736362224
19,max_score,0.7661442885167457
20,close,0.7359989312022353
