Target,Model,Best Exp,Features,N,PR-AUC,ROC-AUC,F1,Recall
EWS_5min,XGBoost,M3_add_temporal,market + cascade + network + temporal,80,0.5957,0.8754,0.4111,0.7341
EWS_5min,LightGBM,full_with_coordination,market + cascade + network + temporal + text + coordination,102,0.624,0.8801,0.3325,0.8135
EWS_5min,Logistic,M2_add_network,market + cascade + network,53,0.2839,0.743,0.1319,0.877
EWS_5min,CNN-GRU,full_with_coordination,market + cascade + network + temporal + text + coordination,102,0.2563,0.7795,0.1792,0.9087
EWS_15min,XGBoost,M3_add_temporal,market + cascade + network + temporal,80,0.5039,0.8068,0.3314,0.7273
EWS_15min,LightGBM,full_with_coordination,market + cascade + network + temporal + text + coordination,102,0.5371,0.8225,0.3092,0.8409
EWS_15min,Logistic,baseline_market,market,31,0.3338,0.7481,0.1892,0.9596
EWS_15min,CNN-GRU,M1_add_cascade,market + cascade,43,0.2644,0.7234,0.2356,0.8359
EWS_30min,XGBoost,full_with_coordination,market + cascade + network + temporal + text + coordination,113,0.4539,0.7441,0.3723,0.7405
EWS_30min,LightGBM,full_with_coordination,market + cascade + network + temporal + text + coordination,102,0.474,0.7616,0.3591,0.8478
EWS_30min,Logistic,M4_add_text,market + cascade + network + temporal + text,87,0.4004,0.7336,0.2737,0.955
EWS_30min,CNN-GRU,baseline_market,market,31,0.3386,0.6857,0.3149,0.7405
