Rank,Feature,SHAP Importance
1,returns_std,0.4886698384651946
2,trade_count,0.4709640407697647
3,volume_std,0.3973722198491395
4,volume_mean,0.368021273815795
5,vwap,0.2892579502127637
6,close,0.2325961048918401
7,volume_z,0.2053485156671202
8,comment_volume_15min,0.1818393464479289
9,low_lag5min,0.1710164713602263
10,high,0.169501835981906
11,comment_volume_30min,0.1656264622009623
12,volume,0.138931863744968
13,volume_z_lag5min,0.1274743102355255
14,high_lag5min,0.1209794506614373
15,returns_lag5min,0.1136649218298453
16,returns,0.1119034725247888
17,volume_mean_60min,0.1100337873839202
18,volume_lag5min,0.1071691589665701
19,returns_mean,0.0954577525426048
20,num_components,0.089042952154574
